Scatter baseline, ranks/node:32, max msg size:32KB 
scatter, 78.916550, 88.216402
isend, 20.027161, 86.135832
scatter, 135.183334, 108.882742
isend, 20.980835, 139.133034
scatter, 248.908997, 120.179352
isend, 22.888184, 176.495856
scatter, 522.136688, 113.419335
isend, 25.033951, 192.078379
scatter, 1047.849655, 117.284555
isend, 31.948090, 206.083255
scatter, 2116.918564, 115.605473
isend, 51.975250, 215.634913
 
Scatter Hybrid, ranks/node:1 number of threads: 32, max msg size:32KB 
isend, 6763.219833, 2.953151
mailroom, 5633.115768, 39.423347
isend, 6948.947906, 5.338373
mailroom, 5770.206451, 48.801069
isend, 7126.092911, 9.875344
mailroom, 5990.028381, 59.549944
isend, 7055.997849, 21.514286
mailroom, 6489.992142, 62.920804
isend, 7449.150085, 36.451678
mailroom, 7875.919342, 52.677358
isend, 7855.892181, 65.849927
mailroom, 10213.136673, 53.679700
 
Scatter Hybrid, ranks/node:2 number of threads: 16, max msg size:32KB 
isend, 209.093094, 9.946647
mailroom, 74.863434, 62.831650
isend, 223.159790, 19.229505
mailroom, 117.063522, 81.287220
isend, 249.862671, 37.507479
mailroom, 201.940536, 98.882890
isend, 309.944153, 68.599919
mailroom, 385.999680, 107.755986
isend, 568.151474, 114.555012
mailroom, 918.865204, 99.892709
isend, 922.203064, 144.624921
mailroom, 1925.945282, 100.253481
 
Scatter Hybrid, ranks/node:4 number of threads: 8, max msg size:32KB 
isend, 65.088272, 18.814701
mailroom, 44.107437, 75.158515
isend, 72.002411, 36.942865
mailroom, 62.942505, 103.467232
isend, 97.990036, 67.963507
mailroom, 106.096268, 139.165858
isend, 148.057938, 131.136559
mailroom, 187.158585, 141.054740
isend, 236.034393, 158.078131
mailroom, 418.901443, 139.077481
isend, 408.172607, 189.807059
mailroom, 827.074051, 134.157255
 
Scatter Hybrid, ranks/node:8 number of threads: 4, max msg size:32KB 
isend, 34.093857, 28.690445
mailroom, 30.994415, 92.894248
isend, 39.100647, 52.517054
mailroom, 40.054321, 133.877921
isend, 46.968460, 116.475935
mailroom, 62.942505, 155.201596
isend, 67.949295, 102.684243
mailroom, 128.030777, 165.242142
isend, 108.003616, 181.372761
mailroom, 231.981277, 167.614018
isend, 186.920166, 212.698544
mailroom, 472.068787, 165.892106
 
Scatter Hybrid, ranks/node:16 number of threads: 2, max msg size:32KB 
isend, 23.126602, 41.360013
mailroom, 25.033951, 100.118671
isend, 24.795532, 80.560501
mailroom, 29.087067, 131.732242
isend, 27.894974, 149.237927
mailroom, 39.100647, 167.282592
isend, 36.954880, 173.819891
mailroom, 63.896179, 183.064674
isend, 54.121017, 203.167391
mailroom, 131.845474, 180.326261
isend, 90.837479, 226.476352
mailroom, 253.915787, 185.105054
 
Scatter Hybrid, ranks/node:32 number of threads: 1, max msg size:32KB 
isend, 19.788742, 80.327586
mailroom, 20.980835, 77.632806
isend, 20.027161, 135.863695
mailroom, 23.841858, 123.595556
isend, 21.934509, 178.422808
mailroom, 30.994415, 147.035563
isend, 23.841858, 215.872008
mailroom, 47.922134, 185.888753
isend, 30.040741, 226.876148
mailroom, 94.890594, 178.816301
isend, 51.975250, 236.830834
mailroom, 203.132629, 190.920025
 
