Scatter baseline, ranks/node:32, max msg size:32KB 
scatter, 188.827515, 38.666214
isend, 81.062317, 29.447526
scatter, 249.862671, 59.572831
isend, 82.015991, 58.604704
scatter, 401.020050, 75.510055
isend, 82.969666, 114.971808
scatter, 733.137131, 83.106443
isend, 85.830688, 158.411917
scatter, 1436.948776, 85.009784
isend, 88.930130, 190.851652
scatter, 2849.817276, 86.419633
isend, 102.996826, 196.575002
 
Scatter Hybrid, ranks/node:1 number of threads: 32, max msg size:32KB 
isend, 473.976135, 1.540565
mailroom, -1398.086548, 15.571868
isend, 537.872314, 3.082428
mailroom, -1163.959503, 21.300571
isend, 601.053238, 6.190468
mailroom, -670.909882, 25.419400
isend, 986.099243, 11.185352
mailroom, 70.095062, 31.433813
isend, 1537.084579, 19.912523
mailroom, 1451.969147, 36.329147
isend, 2286.911011, 35.969271
mailroom, 4998.922348, 33.969847
 
Scatter Hybrid, ranks/node:2 number of threads: 16, max msg size:32KB 
isend, 576.972961, 3.301586
mailroom, 227.928162, 26.219065
isend, 597.000122, 6.530095
mailroom, 307.083130, 39.482253
isend, 728.845596, 11.809588
mailroom, 617.027283, 45.081447
isend, 860.929489, 22.476541
mailroom, 1034.021378, 52.252694
isend, 1543.045044, 42.409736
mailroom, 1792.192459, 61.118047
isend, 2329.826355, 75.788295
mailroom, 4183.053970, 58.721552
 
Scatter Hybrid, ranks/node:4 number of threads: 8, max msg size:32KB 
isend, 213.861465, 6.041827
mailroom, 153.064728, 35.972700
isend, 216.007233, 12.665679
mailroom, 185.012817, 55.279404
isend, 231.981277, 23.829976
mailroom, 280.141830, 72.273789
isend, 329.971313, 43.083066
mailroom, 555.992126, 76.291952
isend, 652.074814, 77.118859
mailroom, 999.927521, 89.511168
isend, 1053.094864, 124.633739
mailroom, 1976.966858, 88.291446
 
Scatter Hybrid, ranks/node:8 number of threads: 4, max msg size:32KB 
isend, 119.924545, 9.811464
mailroom, 116.109848, 42.247688
isend, 126.123428, 19.697661
mailroom, 133.037567, 67.192745
isend, 135.183334, 38.781718
mailroom, 170.946121, 92.948964
isend, 153.064728, 76.062807
mailroom, 306.129456, 103.796838
isend, 282.049179, 123.537445
mailroom, 583.171844, 112.716981
isend, 522.851944, 158.205702
mailroom, 1145.124435, 116.526594
 
Scatter Hybrid, ranks/node:16 number of threads: 2, max msg size:32KB 
isend, 90.122223, 20.506874
mailroom, 97.990036, 38.198782
isend, 92.983246, 40.638252
mailroom, 106.811523, 72.944149
isend, 97.036362, 80.453109
mailroom, 128.030777, 104.795930
isend, 105.857849, 138.357593
mailroom, 170.946121, 127.992875
isend, 122.070312, 168.890621
mailroom, 353.097916, 130.674241
isend, 235.080719, 187.686194
mailroom, 674.962997, 139.182735
 
Scatter Hybrid, ranks/node:32 number of threads: 1, max msg size:32KB 
isend, 82.969666, 28.255442
mailroom, 87.976456, 27.306084
isend, 83.923340, 56.284524
mailroom, 92.983246, 53.602568
isend, 85.830688, 109.949032
mailroom, 107.049942, 98.430912
isend, 88.930130, 155.369838
mailroom, 149.011612, 126.745994
isend, 98.943710, 186.892354
mailroom, 265.121460, 135.278806
isend, 159.978867, 202.209156
mailroom, 465.869904, 150.111651
 
