Scatter baseline, ranks/node:64, max msg size:32KB 
scatter, 105.142593, 71.812152
isend, 27.894974, 95.953597
scatter, 190.019608, 80.258174
isend, 27.179718, 189.172900
scatter, 370.979309, 82.356562
isend, 30.994415, 344.648783
scatter, 787.019730, 79.193434
isend, 36.001205, 628.649922
scatter, 1592.159271, 78.083967
isend, 46.014786, 1109.159161
scatter, 4264.116287, 57.484764
isend, 68.902969, 1805.703509
 
Scatter Hybrid, ranks/node:1 number of threads: 64, max msg size:32KB 
isend, 224.113464, 1.390356
mailroom, 25.987625, 27.291015
isend, 242.948532, 2.537881
mailroom, 30.994415, 38.981615
isend, 225.067139, 5.439440
mailroom, 73.909760, 45.057346
isend, 230.073929, 10.506720
mailroom, 87.976456, 48.646680
isend, 246.047974, 18.894801
mailroom, 146.865845, 39.774169
isend, 254.154205, 34.167073
mailroom, 254.154205, 37.292922
 
